,Year,Country,Area,Location,Activity,Fatal (Y/N),Injury,Species
4549,1948.0,KENYA,Coast Province,Mombasa,Other,Y,FATAL,No Values
4550,1948.0,SENEGAL,Cap Vert Peninsula,Between Joal & Sangomar near Dakar,Other,,Fragment of human foot recovered from 300-kg [662-lb] tiger shark,Other
4551,1948.0,PAPUA NEW GUINEA,"New Ireland Province, Bismarck Archipelago","Punam Passage, Rataman census div, Namatanai",Spearfishing,N,Leg bitten by shark that he had speared  PROVOKED INCIDENT,Other
4552,1948.0,USA,Texas,"Gulf of Mexico between Brownsville & Carmen, Mexico",Other,Y,"FATAL. Womack was injured when plane went down, 3 days later he fell off liferaft & was taken by a shark  ",No Values
4553,1948.0,AUSTRALIA,New South Wales,"Stockton Beach, Newcastle",Swimming,Y,"FATAL, right thigh & leg bitten ",Other
4554,1948.0,AUSTRALIA,New South Wales,"Mona Vale, near Sydney",Surfing,N,"No injury, ski bitten",Other
4555,1948.0,USA,Florida,Biscayne Bay,Other,N,Grabbed shark by the tail & it bit him PROVOKED INCIDENT,Nurse shark
4556,1948.0,NEW GUINEA,Morobe Province,Finschafen  ,Fishing,N,Right hand bitten,No Values
4557,1948.0,PAPUA NEW GUINEA,Bougainville (North Solomons),"Tung Island, off the west coast of Buka Island",Spearfishing,N,Bitten on face while taking shark off spear PROVOKED INCIDENT,No Values
4558,1948.0,SOUTH AFRICA,Western Cape Province,False Bay,Fishing,N,"No injury to occupants, boat holed by shark",No Values
4559,1947.0,AUSTRALIA,New South Wales,"Watson Taylor's Lake, 25 miles south of Port Macquarie",Fishing,N,Leg gashed,Grey shark
4560,1947.0,SOUTH AFRICA,KwaZulu-Natal,Durban,Other,,"Human remains, possibly one of the crew of the wrecked fishing boat John Bull. found in 277-kg tiger shark.",Other
4561,1947.0,SENEGAL,,"Tiaroye, near Dakar, Cap Vert Peninsula",Fishing,Y,"FATAL, right thigh bitten ",Tiger shark
4562,1947.0,AUSTRALIA,South Australia,3 miles out to sea off Glenelg,Fishing,N,"No injury to occupants, shark made 20 to 30 rushes at dinghy",Other
4563,1947.0,AUSTRALIA,New South Wales,"Knobby's Beach, Newcastle",Fishing,N,"No injury, ski bumped",No Values
4564,1947.0,AUSTRALIA,New South Wales,"Knobby's Beach, Newcastle",Fishing,N,"No injury, ski bumped",No Values
4565,1947.0,AUSTRALIA,New South Wales,"Maria River, Port Macquarie, 12 miles from river mouth",Swimming,Y,"FATAL, leg severed at knee  ",No Values
4566,1947.0,AUSTRALIA,New South Wales,"Maria River, Port Macquarie, 12 miles from river mouth",Swimming,N,Thighs & knee lacerated,No Values
4567,1947.0,AUSTRALIA,Queensland,Moreton Bay,Other,Y,FATAL,No Values
4568,1947.0,AUSTRALIA,Northern Territory,"Mornington Island, Gulf of Carpentaria",Fishing,N,Kneecap removed,No Values
4569,1947.0,BRAZIL,Pernambuco,Piedade,Swimming,Y,FATAL,No Values
4570,1947.0,USA,Florida,In a canal 10 miles north of St Augustine,Swimming,Y,"FATAL, calf bitten, leg surgically amputated  ",Other
4571,1947.0,USA,California,"Santa Monica, Los Angeles County",Fishing,N,PROVOKED INCIDENT,Other
4572,1947.0,AUSTRALIA,Northern Territory,Darwin Harbour,Diving,N,Suit ripped,Other
4573,1947.0,SOUTH AFRICA,KwaZulu-Natal,"North Beach, Durban",Swimming,N,Right thigh lacerated,No Values
4574,1947.0,GREECE,Carpathian Sea,Dodecanese Islands,Other,,Shark involvement  unconfirmed,Other
4575,1947.0,USA,Hawaii,"Off Waianae, O'ahu",Fishing,N,"Left forearm, arm & leg lacerated",No Values
4576,1947.0,AUSTRALIA,New South Wales,Coogee,Fishing,N,"No injury to occupants, shark bumped & lifted dinghy",Tiger shark
4577,1947.0,KENYA,Coast Province,"Kilindini Harbor, Mombasa",Swimming,N,Knee grazed,No Values
4578,1947.0,SOUTH AFRICA,KwaZulu-Natal,"Country Club Beach, Durban",Other,N,Ankle & shin lacerated,Other
4579,1947.0,SOUTH AFRICA,KwaZulu-Natal,"Rocket Hut Beach, Durban",Surfing,N,"Thigh severely lacerated, shin & calf lacerated",No Values
4580,1947.0,AUSTRALIA,New South Wales,Palm Beach,Surfing,N,"No injury, board scraped by shark",No Values
4581,1947.0,PACIFIC OCEAN,,Off Central American coast at 8N.79W,Other,N,"Right arm punctured, finger lacerated PROVOKED INCIDENT",No Values
4582,1947.0,SOUTH AFRICA,KwaZulu-Natal,"Country Club Beach, Durban",Wading,N,"Hip abraded, right calf severely lacerated",No Values
4583,1947.0,SOUTH AFRICA,KwaZulu-Natal,"Country Club Beach, Durban",Other,N,Lacerations on buttock  &  right foot ,Blacktip shark
4584,1947.0,AUSTRALIA,Queensland,Palm Beach,Fishing,N,"No injury, shark holed boat",No Values
4585,1947.0,BAHAMAS,New Providence Island,Cable Beach,Other,N,Arm bitten PROVOKED INCIDENT,Other
4586,1947.0,BRAZIL,Rio de Janeiro,Copacabana,Bathing,Y,FATAL,No Values
4587,1947.0,AUSTRALIA,New South Wales,"Berry's Bay, Sydney Harbour",Other,N,"No injury, shark lifted the boat 0.5 m out of the water",Other
4588,1947.0,SOUTH AFRICA,KwaZulu-Natal,"Country Club Beach, Durban",Other,N,Flexed left leg lacerated,Other
4589,1946.0,AUSTRALIA,South Australia,Glenelg,Swimming,N,"Forearm & fingers lacerated, teethmarks on wood",No Values
4590,1946.0,AUSTRALIA,Queensland,"Auckland Creek, Gladstone",Other,N,Shark jumped into cockpit,Other
4591,1946.0,AUSTRALIA,Torres Strait,40 miles off Thursday Island,Diving,Y,"FATAL, right arm severed",No Values
4592,1946.0,MARSHALL ISLANDS,Kwajalein,,Fishing,Y,FATAL,No Values
4593,1946.0,AUSTRALIA,New South Wales,"Marks Point, Swan Bay, Lake Macquarie",Swimming,N,Left leg lacerated,No Values
4594,1946.0,ISRAEL,Gaza,Jura Village,Fishing,N,Laceration to back,No Values
